{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(144), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.18683099764295885, 'nll': 0.812377010575237, 'efficiency': 0.6723387784004088, 'f1': 0.7365048065072715}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(160), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.21046474986092611, 'nll': 0.7894498257302129, 'efficiency': 0.7573883060254352, 'f1': 0.7393364928909953}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(176), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.2172404776190341, 'nll': 0.7827256252038065, 'efficiency': 0.7817717572788827, 'f1': 0.74987714987715}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(192), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.19124086539161944, 'nll': 0.80864072388275, 'efficiency': 0.6882083350181384, 'f1': 0.7282828282828283}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(208), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.2054917991620432, 'nll': 0.7945073057907398, 'efficiency': 0.7394924127308868, 'f1': 0.7224236147074055}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(224), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.19627530234853596, 'nll': 0.803552259060479, 'efficiency': 0.7063254956405727, 'f1': 0.7438719359679841}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(240), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.18149491211235758, 'nll': 0.8184781998165009, 'efficiency': 0.6531360910929166, 'f1': 0.7217521154803385}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(256), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.1761434660424217, 'nll': 0.8237813555339193, 'efficiency': 0.6338781266291597, 'f1': 0.7292565338746511}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(272), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.16209828403747062, 'nll': 0.8378953349736297, 'efficiency': 0.5833344768560831, 'f1': 0.7279046673286991}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(288), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.1810096519918819, 'nll': 0.8188042997032724, 'efficiency': 0.6513898112960783, 'f1': 0.7196891191709844}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(304), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.14638657923069676, 'nll': 0.8534195072142609, 'efficiency': 0.5267936000763016, 'f1': 0.7346125093446301}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(320), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.16210987469384952, 'nll': 0.8377206273687926, 'efficiency': 0.5833761875349799, 'f1': 0.7319254658385093}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(336), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.13010050982093613, 'nll': 0.8698947470773908, 'efficiency': 0.4681857879356839, 'f1': 0.7162022703818369}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(352), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.1369512466832863, 'nll': 0.8629040364115514, 'efficiency': 0.4928391704647299, 'f1': 0.7122302158273381}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(368), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.11639314591953398, 'nll': 0.8835892947844581, 'efficiency': 0.4188578262118446, 'f1': 0.7145780051150895}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(384), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.1289992385012796, 'nll': 0.8709834527147022, 'efficiency': 0.4642227013864151, 'f1': 0.7308488612836439}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(400), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.058152275324833136, 'nll': 0.9417285037261193, 'efficiency': 0.20926950156215712, 'f1': 0.714585519412382}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(416), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.11210956108988168, 'nll': 0.8878295829790112, 'efficiency': 0.4034427172209545, 'f1': 0.71875808538163}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(432), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.10062236764983612, 'nll': 0.8993766191630803, 'efficiency': 0.3621043649016626, 'f1': 0.7330873308733088}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(448), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.02414682611205754, 'nll': 0.9757475906597082, 'efficiency': 0.08689589937026013, 'f1': 0.6769957983193278}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(464), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.01512043377243144, 'nll': 0.9848120626703676, 'efficiency': 0.054413101143251166, 'f1': 0.7183776932826362}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(480), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.0, 'nll': 1.019717021275687, 'efficiency': 0.0, 'f1': 0.6846071044133477}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(496), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.023221088207893814, 'nll': 0.9767366126607997, 'efficiency': 0.08356449559114076, 'f1': 0.6913448735019974}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(32), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version2', 'L_true': 0.23138865630917793, 'model_score': 0.20060524912000433, 'nll': 0.7993843404688379, 'efficiency': 0.8669623322068075, 'f1': 0.7283236994219654}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(48), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version2', 'L_true': 0.23138865630917793, 'model_score': 0.20346396826347002, 'nll': 0.7965351344048753, 'efficiency': 0.8793169531681995, 'f1': 0.7252468979488478}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(64), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version2', 'L_true': 0.23138865630917793, 'model_score': 0.17655999764966168, 'nll': 0.8234168112024728, 'efficiency': 0.7630451745817001, 'f1': 0.7158690176322418}
