{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 640, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version2', 'L_true': 0.163624830080216, 'temperature': 3.660919666290283, 'f1': 0.5790884718498659, 'model_score': 0.07426542984580076, 'efficiency': 0.4538762839930383, 'nll': 0.9256251586914063, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.1487223876953125}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 768, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version2', 'L_true': 0.163624830080216, 'temperature': 3.5738425254821777, 'f1': 0.5786802030456852, 'model_score': 0.05100060955082153, 'efficiency': 0.31169236066322464, 'nll': 0.9489836181640625, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.2999458740234375}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 896, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version2', 'L_true': 0.163624830080216, 'temperature': 4.360524654388428, 'f1': 0.6772009029345372, 'model_score': 0.07553097711355494, 'efficiency': 0.46161072910832895, 'nll': 0.9243307373046875, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.443358447265625}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 1024, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version2', 'L_true': 0.163624830080216, 'temperature': 5.520118236541748, 'f1': 0.6312399355877617, 'model_score': 0.061522985839843725, 'efficiency': 0.3760003039250368, 'nll': 0.9384770141601563, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.3866958251953125}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 32, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version3', 'L_true': 0.18349792518245078, 'temperature': 0.986751914024353, 'f1': 0.74, 'model_score': 0.16608555162396388, 'efficiency': 0.905108607951976, 'nll': 0.8339082885742187, 'model_score_raw': 0.16614091091960015, 'efficiency_raw': 0.9054102968979476, 'nll_raw': 0.8338529296875}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 64, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version3', 'L_true': 0.18349792518245078, 'temperature': 1.2136508226394653, 'f1': 0.7073750991276765, 'model_score': 0.16521828266872418, 'efficiency': 0.9003822931755153, 'nll': 0.83478017578125, 'model_score_raw': 0.16048614502387004, 'efficiency_raw': 0.8745937855389903, 'nll_raw': 0.8395123046875}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 96, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version3', 'L_true': 0.18349792518245078, 'temperature': 1.1821740865707397, 'f1': 0.7061574434918161, 'model_score': 0.15408072015644636, 'efficiency': 0.8396864433385005, 'nll': 0.8457630615234375, 'model_score_raw': 0.14873310173716348, 'efficiency_raw': 0.8105437791150997, 'nll_raw': 0.8511096923828125}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 128, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version3', 'L_true': 0.18349792518245078, 'temperature': 1.4193406105041504, 'f1': 0.6813880126182965, 'model_score': 0.1388873256062626, 'efficiency': 0.7568877166767299, 'nll': 0.8610872314453125, 'model_score_raw': 0.12390597475521437, 'efficiency_raw': 0.6752445545747477, 'nll_raw': 0.8760681396484375}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 160, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version3', 'L_true': 0.18349792518245078, 'temperature': 1.5789395570755005, 'f1': 0.7072072072072072, 'model_score': 0.12639607840955713, 'efficiency': 0.6888147551743833, 'nll': 0.8735006713867187, 'model_score_raw': 0.09329209264684435, 'efficiency_raw': 0.508409523181718, 'nll_raw': 0.9066007446289063}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 192, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version3', 'L_true': 0.18349792518245078, 'temperature': 1.5456665754318237, 'f1': 0.6567411083540116, 'model_score': 0.13069549333695185, 'efficiency': 0.7122450741990798, 'nll': 0.8691439697265625, 'model_score_raw': 0.09061053946494413, 'efficiency_raw': 0.4937959891091448, 'nll_raw': 0.9092215209960938}
